linha,sku,nome,motivo,erro
1,3465,Abajour Para Hamster,DUPLICADO,SKU 3465 já existe (ID: 168)
2,1635,Acessorios 800,DUPLICADO,SKU 1635 já existe (ID: 169)
3,1630,Acessorios 900,DUPLICADO,SKU 1630 já existe (ID: 170)
4,991,Adesivo  Variados,DUPLICADO,SKU 991 já existe (ID: 171)
5,6041,Adesivo Borboleta,DUPLICADO,SKU 6041 já existe (ID: 172)
6,1636,Adesivo Mini Presilha,DUPLICADO,SKU 1636 já existe (ID: 173)
7,997,Adesivo Presilha,DUPLICADO,SKU 997 já existe (ID: 174)
8,6040,Adesivo Presilha Estrela,DUPLICADO,SKU 6040 já existe (ID: 175)
9,1868,Adesivos  Ano Novo,DUPLICADO,SKU 1868 já existe (ID: 176)
10,2649,Adesivos Laco G,DUPLICADO,SKU 2649 já existe (ID: 177)
11,1507,Adesivos Laco M,DUPLICADO,SKU 1507 já existe (ID: 178)
12,1871,Adesivos Laco vermelho,DUPLICADO,SKU 1871 já existe (ID: 179)
13,1508,Adesivos Variados,DUPLICADO,SKU 1508 já existe (ID: 180)
14,6205,Alcon Labcon Cloro Test 15ml,DUPLICADO,SKU 6205 já existe (ID: 181)
15,6206,Alcon Labcon Club Revitalizante 15ml,DUPLICADO,SKU 6206 já existe (ID: 182)
16,6207,Alcon Labcon Test Nitrito,DUPLICADO,SKU 6207 já existe (ID: 183)
17,2927,Alergocort Shampoo 200 ml,DUPLICADO,SKU 2927 já existe (ID: 184)
18,1252,Alicate de Unhas Comfort Agrodog,DUPLICADO,SKU 1252 já existe (ID: 185)
19,3278,Alicate Grande p/ Corte de Unhas,DUPLICADO,SKU 3278 já existe (ID: 186)
20,2893,Alicate Grande para Corte de Unhas,DUPLICADO,SKU 2893 já existe (ID: 187)
